,Date,Yearly,10 Year Average
58,1938-12-31,15.293083333333334,15.159216666666662
59,1939-12-31,15.302333333333332,15.192708333333332
60,1940-12-31,15.372083333333334,15.212666666666667
61,1941-12-31,15.384666666666666,15.228308333333334
62,1942-12-31,15.325333333333338,15.242041666666665
63,1943-12-31,15.344999999999999,15.27525
64,1944-12-31,15.449083333333334,15.305708333333333
65,1945-12-31,15.33075,15.3269
66,1946-12-31,15.262750000000002,15.336558333333334
67,1947-12-31,15.31016666666667,15.337525000000003
68,1948-12-31,15.261166666666668,15.334333333333337
69,1949-12-31,15.22275,15.326375000000002
70,1950-12-31,15.1395,15.303116666666668
71,1951-12-31,15.311166666666665,15.295766666666665
72,1952-12-31,15.363083333333334,15.299541666666665
73,1953-12-31,15.421083333333334,15.307149999999998
74,1954-12-31,15.230583333333335,15.285299999999998
75,1955-12-31,15.174333333333335,15.26965833333333
76,1956-12-31,15.106,15.253983333333329
77,1957-12-31,15.374083333333331,15.260374999999996
78,1958-12-31,15.382083333333334,15.272466666666663
79,1959-12-31,15.340499999999999,15.284241666666663
80,1960-12-31,15.291916666666665,15.299483333333331
81,1961-12-31,15.379916666666668,15.306358333333332
82,1962-12-31,15.325583333333334,15.302608333333334
83,1963-12-31,15.376666666666667,15.298166666666665
84,1964-12-31,15.117083333333332,15.286816666666667
85,1965-12-31,15.195750000000002,15.288958333333335
86,1966-12-31,15.264666666666665,15.304825000000003
87,1967-12-31,15.294166666666667,15.296833333333336
88,1968-12-31,15.263916666666665,15.28501666666667
89,1969-12-31,15.390499999999998,15.29001666666667
90,1970-12-31,15.332666666666666,15.294091666666668
91,1971-12-31,15.200000000000001,15.2761
92,1972-12-31,15.292916666666668,15.272833333333333
93,1973-12-31,15.404750000000002,15.275641666666667
94,1974-12-31,15.168083333333334,15.280741666666666
95,1975-12-31,15.238666666666667,15.285033333333331
96,1976-12-31,15.131083333333335,15.271674999999997
97,1977-12-31,15.40825,15.283083333333332
98,1978-12-31,15.300916666666666,15.286783333333332
99,1979-12-31,15.414166666666667,15.289149999999998
100,1980-12-31,15.491833333333332,15.305066666666667
101,1981-12-31,15.516166666666669,15.336683333333335
102,1982-12-31,15.341916666666668,15.341583333333336
103,1983-12-31,15.520249999999999,15.353133333333336
104,1984-12-31,15.344166666666666,15.37074166666667
105,1985-12-31,15.34066666666667,15.380941666666669
106,1986-12-31,15.384000000000002,15.406233333333338
107,1987-12-31,15.524500000000003,15.417858333333339
108,1988-12-31,15.555750000000002,15.443341666666672
109,1989-12-31,15.441583333333334,15.44608333333334
110,1990-12-31,15.629333333333335,15.459833333333341
111,1991-12-31,15.597999999999999,15.468016666666676
112,1992-12-31,15.453000000000003,15.47912500000001
113,1993-12-31,15.466416666666667,15.473741666666678
114,1994-12-31,15.534999999999998,15.49282500000001
115,1995-12-31,15.637833333333333,15.522541666666678
116,1996-12-31,15.524666666666668,15.536608333333342
117,1997-12-31,15.713833333333334,15.555541666666675
118,1998-12-31,15.826000000000002,15.582566666666676
119,1999-12-31,15.600333333333333,15.598441666666677
120,2000-12-31,15.610666666666667,15.59657500000001
121,2001-12-31,15.767499999999998,15.61352500000001
122,2002-12-31,15.829166666666667,15.651141666666678
123,2003-12-31,15.826583333333337,15.687158333333343
124,2004-12-31,15.75725,15.709383333333344
125,2005-12-31,15.879249999999999,15.733525000000009
126,2006-12-31,15.8135,15.762408333333344
127,2007-12-31,15.827333333333334,15.773758333333344
128,2008-12-31,15.721250000000003,15.763283333333344
129,2009-12-31,15.827166666666669,15.785966666666678
130,2010-12-31,15.895499999999998,15.814450000000011
131,2011-12-31,15.7695,15.814650000000011
132,2012-12-31,15.802333333333337,15.811966666666677
133,2013-12-31,15.854416666666667,15.814750000000013
134,2014-12-31,15.912999999999997,15.83032500000001
135,2015-12-31,16.058583333333335,15.848258333333343
